帟	亦
幽	幺
庠	羊
度	
建	
弈	亦
弭	
彥	
很	艮
待	寺
徊	回
律	聿
徇	旬
後	
徉	羊
怒	奴
思	
怠	台
急	
怎	乍
怨	夗
恍	光
恰	合
恨	艮
恢	灰
恆	亙
恃	寺
恬	
恫	同
恪	各
恤	血
扁	
拜	
挖	穵
按	安
拼	并
拭	式
持	寺
拮	吉
拽	曳
指	旨
拱	共
拷	考
拯	丞
括	
拾	合
拴	全
挑	兆
挂	圭
政	正
故	古
斫	
施	也
既	
春	
昭	召
映	央
昧	未
是	
星	生
昨	乍
昱	
昤	令
曷	
柿	市
染	
柱	主
柔	矛
某	
柬	
架	加
枯	古
柵	冊
柩	
柯	可
柄	丙
柑	甘
枴	
柚	由
查	
枸	句
柏	白
柞	乍
柳	卯
枰	平
柙	甲
柢	氐
柝	斥
柒	
歪	
殃	央
殆	台
段	
毒	
毗	比
氟	弗
泉	
洋	羊
洲	州
洪	共
流	
津	聿
洌	列
洱	耳
洞	同
洗	先
活	
洽	合
派	𠂢
洶	匈
洛	各
泵	
洹	
洧	有
洸	光
洩	曳
洮	兆
洵	旬
洎	自
洫	血
炫	玄
為	
炳	丙
炬	巨
炯	
炭	
炸	乍
炮	包
炤	召
爰	
牲	生
牯	古
牴	氐
狩	守
狠	艮
狡	交
玷	占
珊	
玻	皮
玲	令
珍	㐱
珀	白
玳	代
甚	
甭	
畏	
界	介
畎	
畋	田
疫	殳
疤	巴
疥	介
疢	
疣	尤
癸	
皆	
皇	
皈	
盈	
盆	分
盃	不
盅	中
省	
盹	屯
相	
眉	
看	
盾	
盼	分
眇	少
矜	今
砂	少
研	开
砌	切
砍	欠
祆	天
祉	止
祈	斤
祇	氏
禹	
禺	
科	
秒	少
秋	
穿	
突	
竿	干
竽	于
籽	子
紂	
紅	工
紀	己
紉	刃
紇	乞
約	勺
紆	于
缸	工
美	
羿	
耄	毛
耐	
耍	
耑	
耶	
胖	半
胥	
胚	丕
胃	
胄	由
背	北
胡	古
胛	甲
胎	台
胞	包
胤	
胝	氐
致	至
舢	山
苧	宁
范	氾
茅	矛
苣	巨
苛	可
苦	古
茄	加
若	
茂	戊
茉	末
苒	冉
苗	
英	央
茁	出
苜	目
苔	台
苑	夗
苞	包
苓	令
苟	句
苯	本
茆	卯
虐	
虹	工
虻	亡
虺	
衍	
衫	
要	
觔	
計	
訂	
訃	卜
貞	
負	
赴	卜
赳	
趴	八
軍	
軌	九
述	朮
迦	加
迢	召
迪	由
迥	
迭	失
迫	白
迤	
迨	台
郊	交
郎	
郁	有
郃	合
酋	
酊	
重	
閂	
限	艮
陋	
陌	百
降	夅
面	
革	
韋	
韭	
音	
頁	
風	
飛	
食	
首	
香	
乘	
亳	
倌	官
倍	咅
倣	放
俯	府
倦	卷
倥	空
俸	奉
倩	青
倖	幸
倆	兩
值	直
借	昔
倚	奇
倒	到
們	門
俺	奄
倀	長
倔	屈
倨	居
俱	具
倡	昌
個	固
候	
倘	尚
俳	非
修	攸
倭	委
倪	兒
俾	卑
倫	侖
倉	
兼	
冤	
冥	
冢	
凍	東
凌	夌
准	隹
凋	周
剖	咅
剜	宛
剔	易
剛	岡
剝	彔
匪	非
卿	
原	
厝	昔
叟	
哨	肖
唐	庚
唁	言
唷	育
哼	亨
哥	
哲	折
唆	
哺	甫
唔	吾
哩	里
哭	
員	
唉	矣
哮	孝
哪	那
哦	我
唧	即
唇	辰
哽	更
唏	希
圃	甫
圄	吾
埂	更
埔	甫
埋	
埃	矣
堉	育
夏	
套	
奘	壯
奚	
娑	沙
娘	良
娜	那
娟	
娛	吳
娓	尾
姬	
娠	辰
娣	弟
娩	免
娥	我
娌	里
娉	
孫	
屘	
宰	
害	
家	
宴	妟
宮	
宵	肖
容	
宸	辰
射	
屑	肖
展	
屐	支
峭	肖
峽	夾
峻	
峪	谷
峨	我
峰	夆
島	
崁	坎
峴	見
差	
席	
師	
庫	
庭	廷
座	坐
弱	
徒	土
徑	巠
徐	余
恙	
恣	次
恥	
恐	巩
恕	如
恭	共
恩	因
息	自
悄	肖
悟	吾
悚	
悍	旱
悔	每
悌	弟
悅	兌
悖	孛
扇	
拳	
挈	
拿	
捎	肖
挾	夾
振	辰
捕	甫
捂	吾
捆	困
捏	
捉	足
挺	廷
捐	肙
挽	免
挪	那
挫	坐
挨	矣
捍	旱
捌	別
效	交
敉	米
料	
旁	方
旅	
時	寺
晉	
晏	安
晃	光
晒	西
晌	向
晅	
晁	兆
書	
朔	
朕	
朗	
校	交
核	亥
案	安
框	匡
桓	
根	艮
桂	圭
桔	吉
栩	羽
梳	㐬
栗	
桌	
桑	
栽	
柴	此
桐	同
桀	
格	各
桃	兆
株	朱
桅	危
栓	全
栘	多
桁	行
殊	朱
殉	旬
殷	
氣	
氧	羊
氨	安
氦	亥
氤	因
泰	
浪	良
涕	弟
消	肖
涇	巠
浦	甫
浸	𠬶
海	每
浙	折
涓	肙
浬	里
涉	
浮	孚
浚	
浴	谷
浩	告
涌	甬
涊	忍
浹	夾
涅	
浥	邑
涔	岑
烊	羊
烘	共
烤	考
烙	各
烈	列
烏	
爹	多
特	寺
狼	良
狹	夾
狽	貝
狸	里
狷	肙
玆	
班	
琉	
珮	
珠	朱
珪	圭
珞	各
畔	半
畝	
畜	
畚	
留	
疾	
病	丙
症	正
疲	皮
疳	甘
疽	且
疼	冬
疹	
痂	加
疸	旦
皋	
皰	包
益	
盍	
盎	央
眩	玄
真	
眠	民
眨	乏
矩	巨
砰	平
砧	占
砸	匝
砝	
破	皮
砷	申
砥	氐
砭	乏
砠	且
砟	乍
砲	包
祕	必
祐	右
祠	司
祟	
祖	且
神	申
祝	
祗	氐
祚	乍
秤	平
秣	末
秧	央
租	且
秦	
秩	失
秘	必
窄	乍
窈	幼
站	占
笆	巴
笑	夭
粉	分
紡	方
紗	少
紋	文
紊	文
素	
索	
純	屯
紐	丑
紕	比
級	及
紜	云
納	內
紙	氏
紛	分
缺	
罟	古
羔	
翅	支
翁	公
耆	
耘	云
耕	井
耙	巴
耗	毛
耽	冘
耿	
胱	光
脂	旨
胰	夷
脅	劦
胭	因
胴	同
脆	危
胸	匈
胳	各
脈	
能	
脊	
胼	并
胯	夸
臭	
臬	
舀	
舐	氏
航	亢
舫	方
舨	反
般	
芻	
茫	亡
荒	巟
荔	劦
荊	刑
茸	
荐	存
草	早
茵	因
茴	回
荏	任
茲	
茹	如
茶	
茗	名
荀	旬
茱	朱
茨	次
荃	全
虔	文
蚊	文
蚪	斗
蚓	引
蚤	
蚩	
蚌	丰
蚣	公
蚜	牙
衰	
衷	中
袁	
袂	夬
衽	壬
衹	氏
記	己
訐	干
討	
訌	工
訕	山
訊	
託	
訓	川
訖	乞
訏	于
訑	也
豈	
豺	才
豹	勺
財	才
貢	工
起	已
躬	弓
軒	干
軔	刃
軏	
辱	
送	
逆	
迷	米
退	
迺	西
迴	回
逃	兆
追	𠂤
逅	后
迸	并
